Task Object,timeType,Effective Time,openUpperLimit,openLowerLimit,afterOpenUpperLimit,afterOpenLowerLimit,afterOpenIndexUpperLimit,afterOpenIndexLowerLimit,preQuoteMaxJ1UpperLimit,preQuoteMinJ2LowerLimit,preQuoteC1,preQuoteC2
RAVE-USDT_UM-SWAP,IMMEDIATE,,1.04,0.96,1.04,0.96,1.1,0.7,,,,
BTC-USD_CM-260925,IMMEDIATE,,1.05,0.95,1.01,0.99,1.02,0.98,,,,
BTC-USD_CM-261225,IMMEDIATE,,1.05,0.95,1.01,0.99,1.02,0.98,,,,
BTC-USD_UM_CM-260417,IMMEDIATE,,1.05,0.95,1.01,0.99,1.02,0.98,,,,
BTC-USD_UM_CM-260424,IMMEDIATE,,1.05,0.95,1.01,0.99,1.02,0.98,,,,
BTC-USD_UM_CM-260626,IMMEDIATE,,1.05,0.95,1.01,0.99,1.02,0.98,,,,
BTC-USD_UM_CM-260925,IMMEDIATE,,1.05,0.95,1.01,0.99,1.02,0.98,,,,
ETH-USD_CM-260925,IMMEDIATE,,1.05,0.95,1.01,0.99,1.02,0.98,,,,
ETH-USD_CM-261225,IMMEDIATE,,1.05,0.95,1.01,0.99,1.02,0.98,,,,
ETH-USDT_UM-260626,IMMEDIATE,,1.05,0.95,1.01,0.99,1.02,0.98,,,,
